Entry	Mass	Gene names  (ordered locus )	Subunit structure [CC]
P76182	38,140	b1630 JW1622	SUBUNIT: The complex is composed of six subunits: RsxA, RsxB, RsxC, RsxD, RsxE and RsxG. {ECO:0000255|HAMAP-Rule:MF_00462, ECO:0000305|PubMed:12773378}.
P77179	24,459	b1632 JW1624	SUBUNIT: The complex is composed of six subunits: RsxA, RsxB, RsxC, RsxD, RsxE and RsxG. {ECO:0000255|HAMAP-Rule:MF_00478, ECO:0000305|PubMed:12773378}.
P67087	31,348	b3146 JW3115	
P77285	21,912	b1631 JW1623	SUBUNIT: The complex is composed of six subunits: RsxA, RsxB, RsxC, RsxD, RsxE and RsxG. {ECO:0000255|HAMAP-Rule:MF_00479, ECO:0000305|PubMed:12773378}.
P38035	60,299	b3422 JW3385	
P0A809	22,086	b1861 JW1850	SUBUNIT: Homotetramer; forms a complex with RuvB. {ECO:0000269|PubMed:8832889, ECO:0000269|PubMed:9493263}.
P06992	30,420	b0051 JW0050	
P33937	93,042	b2206 JW2194	SUBUNIT: Component of the periplasmic nitrate reductase NapAB complex composed of NapA and NapB (PubMed:10234835, PubMed:17130127). Before export to the periplasm, the NapA twin-arginine signal sequence interacts with NapD and NapF (PubMed:17074894, PubMed:17901208, PubMed:22329966, PubMed:24314029, Ref.13). {ECO:0000269|PubMed:10234835, ECO:0000269|PubMed:17074894, ECO:0000269|PubMed:17130127, ECO:0000269|PubMed:17901208, ECO:0000269|PubMed:22329966, ECO:0000269|PubMed:24314029, ECO:0000269|Ref.13}.
P20083	70,244	b3030 JW2998	SUBUNIT: Heterotetramer composed of ParC and ParE. {ECO:0000255|HAMAP-Rule:MF_00938, ECO:0000269|PubMed:15105144, ECO:0000269|PubMed:21300644}.
P0ABF8	20,701	b1912 JW1897	
P02338	3,447	b1229 JW1219	
P0AG86	17,277	b3609 JW3584	SUBUNIT: Homotetramer, a dimer of dimers (PubMed:14643199, PubMed:27501151). One homotetramer interacts with 1 SecA dimer. {ECO:0000269|PubMed:14643199, ECO:0000269|PubMed:27501151}.
P0AGB0	35,043	b4388 JW4351	
P0AG14	39,366	b1272 JW1264	
P0ACS2	17,150	b4063 JW4024	SUBUNIT: Homodimer.
P0AGC3	73,353	b4392 JW4355	
P0AGG8	51,364	b3244 JW3213	
P0A836	41,393	b0728 JW0717	SUBUNIT: Heterotetramer of two alpha and two beta subunits. {ECO:0000255|HAMAP-Rule:MF_00558, ECO:0000269|PubMed:8144675, ECO:0000269|PubMed:9917402}.
P75853	34,558	b0936 JW0919	
P0AG24	79,342	b3650 JW3625	SUBUNIT: Interacts with ObgE/CgtA (AC P42641); this association is not required for pre-50S ribosome binding. Under both amino acid and carbon starvation conditions about half of the protein dissociates from the ribosome. {ECO:0000269|PubMed:15292126}.
P32143	31,728	b3883 JW5568	
P0A7F6	30,385	b0120 JW0116	SUBUNIT: Heterooctamer of four alpha and four beta chains arranged as a tetramer of alpha/beta heterodimers. {ECO:0000269|PubMed:3546296}.
P15082	28,236	b2707 JW2676	
P77522	54,745	b1683 JW5273	SUBUNIT: Part of the SufBCD complex that contains SufB, SufC and SufD (PubMed:12941942). Interacts with SufA (PubMed:19810706). {ECO:0000269|PubMed:12941942, ECO:0000269|PubMed:19810706}.
P0ACG1	15,348	b2669 JW2644	SUBUNIT: When overexpressed forms homodimers, can interact with the N-terminus (residues 1-64) of H-NS (PubMed:8755860). May interact with Hha and/or Cnu. {ECO:0000269|PubMed:8755860, ECO:0000305}.
P0AAH0	29,027	b3725 JW3703	SUBUNIT: The complex is composed of two ATP-binding proteins (PstB), two transmembrane proteins (PstC and PstA) and a solute-binding protein (PstS). {ECO:0000255|HAMAP-Rule:MF_01702}.
P0AG55	18,904	b3305 JW3267	SUBUNIT: Part of the 50S ribosomal subunit (PubMed:324885, PubMed:10094780, PubMed:10756104, PubMed:12809609, PubMed:16272117, PubMed:25310980, PubMed:27906160, PubMed:27906161). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:10756104, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:324885}.
P55135	48,052	b2785 JW2756	
P21499	92,109	b4179 JW5741	SUBUNIT: Monomer. {ECO:0000269|PubMed:11948193}.
P0AFY2	27,287	b2144 JW2132	
P64559	10,547	b2897 JW2865	SUBUNIT: Monomer (PubMed:15593094). Can be cross-linked to FrdA and SdhA (PubMed:26644464). {ECO:0000269|PubMed:15593094, ECO:0000269|PubMed:26644464}.
P0AAD6	46,906	b2796 JW2767	
P0AGB3	32,469	b3461 JW3426	SUBUNIT: Interacts with the RNA polymerase core enzyme. Interacts with DnaK and DnaJ. {ECO:0000255|HAMAP-Rule:MF_00961, ECO:0000269|PubMed:8599944, ECO:0000269|PubMed:9144163}.
P0ADZ4	10,269	b3165 JW3134	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:776686, PubMed:10094780, PubMed:12244297, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:27906160, PubMed:27906161). Forms a bridge to the 50S subunit in the 70S ribosome, contacting the 23S rRNA (PubMed:12809609, PubMed:16272117). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:776686}.
P0AG76	44,714	b0398 JW0388	SUBUNIT: Heterodimer of SbcC and SbcD.
C1P601	9,463	b4689 JW1545.1	
P0AGD1	17,681	b1646 JW1638	SUBUNIT: Monomer.
P14294	73,217	b1763 JW1752	
P24188	39,781	b1055 JW1042	
P52097	48,204	b0188 JW0183	
P18034	12,945	ECOK12F092	
P18035	19,719	ECOK12F095	
P18473	23,433	ECOK12F088	
P41070	7,053	ECOK12F080	
Q05807	9,911	ECOK12F090	
P15068	14,480	ECOK12F097	
P41072	9,126	ECOK12F081	
P32154	51,120	b3899 JW5562	
P42904	17,086	b3133 JW3102	
P37634	31,942	b3499 JW3466	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_00934, ECO:0000269|PubMed:23989148}.
P31122	42,538	b1528 JW1521	
P0C093	22,836	b3641 JW5641	SUBUNIT: Homodimer. Interacts with FtsZ. {ECO:0000255|HAMAP-Rule:MF_01839, ECO:0000269|PubMed:15916962, ECO:0000269|PubMed:21113127, ECO:0000269|PubMed:21321206}.
P0ABW5	18,475	b0530 JW0519	
P77249	25,458	b0531 JW0520	
P76053	21,512	b1340 JW1334	
P0ABU9	25,598	b0737 JW0727	SUBUNIT: The Tol-Pal system is composed of five core proteins: the inner membrane proteins TolA, TolQ and TolR, the periplasmic protein TolB and the outer membrane protein Pal. They form a network linking the inner and outer membranes and the peptidoglycan layer (PubMed:17233825). TolQ interacts with the N-terminal domain of TolA and with TolR (PubMed:7744737, PubMed:10419942). {ECO:0000269|PubMed:10419942, ECO:0000269|PubMed:7744737, ECO:0000305|PubMed:17233825}.
P0A828	18,510	b3284 JW3245	
P75851	28,925	b0934 JW5121	
P60340	35,087	b3166 JW3135	
P32138	77,275	b3878 JW3849	
P18310	19,636	ECOK12F060	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_00984}.
P0AFZ1	28,643	b2522 JW5404	
P0AGD7	49,787	b2610 JW5414	SUBUNIT: Part of the signal recognition particle protein translocation system, which is composed of SRP and FtsY. SRP is a ribonucleoprotein composed of Ffh and a 4.5S RNA molecule. Metal ions are essential for the formation and stability of the SRP complex. Interacts with the ribosomes, via ribosomal protein L23. Interacts with FtsY. {ECO:0000255|HAMAP-Rule:MF_00306, ECO:0000269|PubMed:10678824, ECO:0000269|PubMed:12269812, ECO:0000269|PubMed:12702815, ECO:0000269|PubMed:12756233, ECO:0000269|PubMed:1279430, ECO:0000269|PubMed:1331806, ECO:0000269|PubMed:9305630}.
P0AAX6	8,896	b0806 JW5106	
P0A799	41,118	b2926 JW2893	SUBUNIT: Monomer.
P37748	44,744	b2035 JW2020	
P0A7X6	20,605	b2608 JW5413	SUBUNIT: Binds 30S ribosomal subunit but not 70S ribosomes (PubMed:9226267). Binds ribosomal protein S19 and probably 16S rRNA (PubMed:15496525). {ECO:0000269|PubMed:15496525, ECO:0000269|PubMed:9226267}.
P0AA39	36,027	b1086 JW1072	
P00452	85,775	b2234 JW2228	SUBUNIT: Tetramer of two alpha (R1) and two beta (R2) subunits. The B1 protein is a dimer of alpha subunits. A radical transfer pathway occurs between 'Tyr-122' of R2 and R1. {ECO:0000269|PubMed:9309223, ECO:0000269|PubMed:9395490}.
P0ACS7	32,362	b4089 JW4050	
P0A812	37,174	b1860 JW1849	SUBUNIT: Homododecamer composed of two hexameric rings; when bound to DNA in the presence of ATP and magnesium. Forms a complex with RuvA. Interacts with YgbT (Cas1). {ECO:0000269|PubMed:21219465}.
P0AEH1	49,071	b0176 JW0171	SUBUNIT: Interacts with RseA; the third transmembrane domain can be cross-linked to the transmembrane domain of RseA. {ECO:0000269|PubMed:14633997, ECO:0000269|PubMed:18268014}.
P13458	118,721	b0397 JW0387	SUBUNIT: Heterodimer of SbcC and SbcD.
P13970	7,792	ECOK12F004/ECOK12F005	
P00914	53,667	b0708 JW0698	SUBUNIT: Monomer. {ECO:0000269|PubMed:7604260}.
P32676	12,637	b3953 JW3925	
P60723	22,087	b3319 JW3281	SUBUNIT: Part of the 50S ribosomal subunit (Ref.1, PubMed:7556101, PubMed:3298242, PubMed:10094780, PubMed:12809609, PubMed:11511371, PubMed:16272117, PubMed:25310980, PubMed:24844575, PubMed:27934701, PubMed:27906160, PubMed:27906161). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:11511371, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:3298242, ECO:0000269|PubMed:7556101, ECO:0000269|Ref.1}.
P16916	156,321	b3593 JW3566	
P27128	39,423	b3627 JW3602	
P0AG34	22,427	b3824 JW5585	
P0AG38	22,474	b3823 JW5586	
Q57154	37,284	ECOK12F033	
P77732	28,904	b2248 JW2242	
P76470	46,294	b2246 JW2240	
P61175	12,226	b3315 JW3277	SUBUNIT: Part of the 50S ribosomal subunit. {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:11511371, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:24844575, ECO:0000269|PubMed:25310980, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:7007072}.
P42596	42,331	b3084 JW5513	
P31667	33,267	b3411 JW3374	
P0A7V8	23,469	b3296 JW3258	SUBUNIT: Part of the 30S ribosomal subunit (PubMed:4587210, PubMed:1100394, PubMed:7556101, PubMed:12809609, PubMed:16272117, PubMed:27934701, PubMed:10094780, PubMed:12244297, PubMed:27906160, PubMed:27906161, PubMed:28077875). Contacts protein S5. With proteins S3 and S5 encircles the mRNA as it enters the ribosome, which may play a role in mRNA helicase processivity (PubMed:15652481). Some nascent polypeptide chains are able to cross-link to this protein in situ (PubMed:9716382). The rRNA transcription and antitermination complex (rrnTAC) consists of RNAP, NusA, NusB, NusE (rpsJ), NusG, SubB, ribosomal protein S4, DNA and precursor rRNA; S4 is more flexible than other subunits (PubMed:32871103). {ECO:0000269|PubMed:10094780, ECO:0000269|PubMed:1100394, ECO:0000269|PubMed:12244297, ECO:0000269|PubMed:12809609, ECO:0000269|PubMed:15652481, ECO:0000269|PubMed:16272117, ECO:0000269|PubMed:27906160, ECO:0000269|PubMed:27906161, ECO:0000269|PubMed:27934701, ECO:0000269|PubMed:28077875, ECO:0000269|PubMed:32871103, ECO:0000269|PubMed:4587210, ECO:0000269|PubMed:7556101, ECO:0000269|PubMed:9716382}.
P58041	6,690	b4510 JW5080	SUBUNIT: Homodimer; disulfide-linked. Interacts (via C-terminus) with RZ (via C-terminus). Part of the spanin complex which spans the entire periplasmic space. The spanin complex is composed of spanin, inner membrane subunit and spanin, outer membrane subunit (By similarity). {ECO:0000250}.
P58042	6,761	b4528 JW5213	SUBUNIT: Homodimer; disulfide-linked. Interacts (via C-terminus) with RZ (via C-terminus). Part of the spanin complex which spans the entire periplasmic space. The spanin complex is composed of spanin, inner membrane subunit and spanin, outer membrane subunit (By similarity). {ECO:0000250}.
P08957	59,307	b4349 JW4312	SUBUNIT: The type I restriction/modification system is composed of three polypeptides R, M and S (PubMed:6255295). The restriction enzyme has stoichiometry R(2)M(2)S(1) (PubMed:9033396). The methyltransferase is composed of M(2)S(1) (PubMed:8514761, PubMed:9033396, PubMed:19074193). {ECO:0000269|PubMed:19074193, ECO:0000269|PubMed:6255295, ECO:0000269|PubMed:8514761, ECO:0000269|PubMed:9033396}.; SUBUNIT: (Microbial infection) Interacts with Escherichia phage T7 protein Ocr; this interaction leads to the inhibition of the methyltransferase restriction enzyme M.EcoKI composed of M(2)S(1). {ECO:0000269|PubMed:12235377, ECO:0000269|PubMed:19074193}.
P07813	97,234	b0642 JW0637	SUBUNIT: Monomer.
P13656	97,058	b3338 JW3300	
P0A6I9	22,622	b0103 JW0100	SUBUNIT: Monomer (PubMed:11292795, PubMed:12538896). Forms homotrimers in the presence of sulfate. The trimeric form exists in solution in equilibrium with the monomeric form (PubMed:12538896). {ECO:0000269|PubMed:11292795, ECO:0000269|PubMed:12538896}.
P0DM85	84,371	b4109 JW4070	SUBUNIT: Forms homooligomers. Binds to the beta sliding clamp processivity factor (DnaN) in the presence and absence of DNA, may bind to the clamp itself as homodimers or trimers. Homooligomers may be able to bind more than 1 clamp complex. {ECO:0000269|PubMed:23994470}.
P75975	7,402	b1146 JW5169	
P38134	81,242	b0981 JW0964	
P76298	74,843	b1879 JW1868	
P77279	25,382	b0490 JW0479	SUBUNIT: The complex is composed of two ATP-binding proteins (FetA) and two transmembrane proteins (FetB). {ECO:0000250}.
P0ACB4	21,226	b3850 JW3827	SUBUNIT: Homotetramer (Probable). Homohexamer. Purified from membrane fractions associated with fumarate reductase (subunit FrdA) (PubMed:20484676). {ECO:0000269|PubMed:20484676, ECO:0000305|PubMed:19583219}.
P0A8S9	13,316	b1892 JW1881	SUBUNIT: Homodimer; disulfide-linked. Forms a heterohexamer composed of two FlhC and four FlhD subunits. Each FlhC binds a FlhD dimer, forming a heterotrimer, and a hexamer assembles by dimerization of two heterotrimers. {ECO:0000269|PubMed:16337229}.
P46118	31,976	b1853 JW1842	
P69931	26,633	b2496 JW5397	SUBUNIT: The active form seems to be an ADP-bound monomer; apo-Hda forms homo-multimers that do not hydrolzye DnaA-bound ATP. Forms the RIDA complex (regulatory inactivation of DnaA) of ATP-DnaA, ADP-Hda and the DNA-loaded beta sliding clamp (dnaN). Interacts with plasmid IncP-alpha RK2-encoded protein TrfA in strain B / BL21-DE3. {ECO:0000269|PubMed:12618445, ECO:0000269|PubMed:15150238, ECO:0000269|PubMed:15611053, ECO:0000269|PubMed:18977760}.
P38135	62,759	b1701 JW5910	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P9WQ37}.
P37009	39,059	b0262 JW0254	SUBUNIT: The complex is composed of two ATP-binding proteins (FbpC), two transmembrane proteins (FbpB) and a solute-binding protein (FbpA). {ECO:0000255|HAMAP-Rule:MF_01706}.
P25746	22,948	b1132 JW5165	SUBUNIT: Interacts with CII protein from phage lambda. {ECO:0000269|PubMed:11278968}.
Q47141	32,838	b2537 JW2521	
Q47142	41,593	b2536 JW2520	
P0ABS8	8,846	b1842 JW1831	SUBUNIT: The DNA polymerase holoenzyme is a complex that contains 10 different types of subunits. These subunits are organized into 3 functionally essential subassemblies: the pol III core, the beta sliding clamp processivity factor and the clamp-loading complex. The pol III core (subunits alpha,epsilon and theta) contains the polymerase and the 3'-5' exonuclease proofreading activities. The polymerase is tethered to the template via the sliding clamp processivity factor. The clamp-loading complex assembles the beta processivity factor onto the primer template and plays a central role in the organization and communication at the replication fork. This complex contains delta, delta', psi and chi, and copies of either or both of two different DnaX proteins, gamma and tau. The composition of the holoenzyme is, therefore: (alpha,epsilon,theta)[2]-(gamma/tau)[3]-delta,delta', psi,chi-beta[4].
P60955	33,108	b2828 JW2796	
P0A725	33,956	b0096 JW0094	
P0ACJ0	18,887	b0889 JW0872	SUBUNIT: Homodimer.
P33232	42,728	b3605 JW3580	SUBUNIT: Forms homooligomers. {ECO:0000269|PubMed:18473}.
P39400	36,448	b4358 JW5793	
P39399	35,397	b4357 JW5792	
P0A8P1	26,619	b0885 JW0868	SUBUNIT: Monomer.
P39398	49,440	b4356 JW4319	
P33231	59,168	b3603 JW3578	
P0ACL7	29,166	b3604 JW3579	
P0AC81	14,920	b1651 JW1643	SUBUNIT: Homodimer. {ECO:0000269|PubMed:10913283}.
P37339	46,082	b2660 JW2635	
P0ACH5	15,184	b1531 JW5249	SUBUNIT: Monomer.
P31121	7,537	b1532 JW1525	
P0AEY8	44,321	b0842 JW0826	SUBUNIT: Monomer. {ECO:0000269|PubMed:17407265}.
P0AEY1	23,617	b1529 JW1522	
P0AE18	29,331	b0168 JW0163	SUBUNIT: Monomer. {ECO:0000255|HAMAP-Rule:MF_01974, ECO:0000269|PubMed:10387007, ECO:0000269|PubMed:16769889}.
P23917	32,500	b0394 JW0385	
P0ABB0	55,222	b3734 JW3712	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a(1), b(2) and c(9-12). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. CF(1) is attached to CF(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains. {ECO:0000255|HAMAP-Rule:MF_01346}.
P17444	61,878	b0311 JW0303	
P0A901	19,852	b4149 JW4110	SUBUNIT: Homodimer. {ECO:0000269|PubMed:16920109}.
P0AE98	15,056	b1038 JW1021	
P21156	35,188	b2752 JW2722	SUBUNIT: Heterodimer composed of CysD, the smaller subunit, and CysN. {ECO:0000255|HAMAP-Rule:MF_00064}.
P08550	17,907	b2313 JW2310	
P0A6L2	31,270	b2478 JW2463	SUBUNIT: Homotetramer; dimer of dimers. {ECO:0000255|HAMAP-Rule:MF_00418, ECO:0000269|PubMed:16041077, ECO:0000269|PubMed:18556019, ECO:0000269|PubMed:18937497, ECO:0000269|PubMed:20353808, ECO:0000269|PubMed:22552955, ECO:0000269|Ref.22}.
P24228	51,798	b3182 JW3149	
P77790	21,213	b1488 JW1483	
P39835	45,967	b3415 JW5690	
P0A6S7	36,362	b3608 JW3583	
P0AES4	96,964	b2231 JW2225	SUBUNIT: Heterotetramer, composed of two GyrA and two GyrB chains (PubMed:9148951, PubMed:12051842). In the heterotetramer, GyrA contains the active site tyrosine that forms a transient covalent intermediate with the DNA, while GyrB binds cofactors and catalyzes ATP hydrolysis (PubMed:12051842, PubMed:18642932, PubMed:19965760, PubMed:9148951). Can form a 2:2 complex with toxin CcdB in which GyrA is inactive; rejuvenation of GyrA(2)CcdB(2) is effected by CcdA (PubMed:15854646, PubMed:1324324, PubMed:8254658, PubMed:8604132). {ECO:0000269|PubMed:12051842, ECO:0000269|PubMed:1324324, ECO:0000269|PubMed:15854646, ECO:0000269|PubMed:18642932, ECO:0000269|PubMed:19965760, ECO:0000269|PubMed:8254658, ECO:0000269|PubMed:8604132, ECO:0000269|PubMed:9148951}.
P0ACB7	45,245	b3802 JW3774	
P0ACE3	8,628	b0460 JW0449	SUBUNIT: Forms a heterotrimeric complex with the H-NS dimer in the absence of DNA. {ECO:0000269|PubMed:10778755, ECO:0000269|PubMed:11790731, ECO:0000269|PubMed:16650431, ECO:0000269|PubMed:21600204, ECO:0000269|PubMed:26085102}.
P36645	50,615	b0107 JW0103	
P75867	65,819	b0955 JW0938	
P0AD96	39,076	b3460 JW3425	
P25772	63,179	b3647 JW3622	
P60716	36,072	b0628 JW0623	SUBUNIT: Monomer or homodimer.
P21645	36,038	b0179 JW0174	SUBUNIT: Homotrimer. {ECO:0000269|PubMed:18422345, ECO:0000269|PubMed:19655786}.
P0AEY5	21,891	b3028 JW2996	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P0AEY7}.
P0AEX9	43,388	b4034 JW3994	SUBUNIT: The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). {ECO:0000269|PubMed:2026607, ECO:0000269|PubMed:2155217}.
P27245	16,065	b1530 JW5248	
P02916	57,013	b4033 JW3993	SUBUNIT: The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). Protein stability and stable complex formation require YidC. {ECO:0000269|PubMed:10809785, ECO:0000269|PubMed:18456666, ECO:0000269|PubMed:2026607, ECO:0000269|PubMed:2155217}.
P68183	32,225	b4032 JW3992	SUBUNIT: The complex is composed of two ATP-binding proteins (MalK), two transmembrane proteins (MalG and MalF) and a solute-binding protein (MalE). Protein stability and stable complex formation require YidC. {ECO:0000269|PubMed:10809785, ECO:0000269|PubMed:18456666, ECO:0000269|PubMed:2026607, ECO:0000269|PubMed:2155217}.
